key,rgb_path,depth_path,paired,rgb_shape,depth_shape,rgb_mtime,depth_mtime,mtime_delta_sec,note
0033,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\test\0033.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0033.png,1,720x1280x3,720x1280,2026-04-15T18:56:28,2026-04-15T18:56:28,0.000,
0034,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0034.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0034.png,1,720x1280x3,720x1280,2026-04-15T18:56:54,2026-04-15T18:56:54,0.000,
0035,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0035.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0035.png,1,720x1280x3,720x1280,2026-04-15T18:56:54,2026-04-15T18:56:54,0.000,
0036,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\test\0036.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0036.png,1,720x1280x3,720x1280,2026-04-15T18:57:08,2026-04-15T18:57:08,0.000,
0037,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0037.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0037.png,1,720x1280x3,720x1280,2026-04-15T18:57:10,2026-04-15T18:57:10,0.000,
0038,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\test\0038.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0038.png,1,720x1280x3,720x1280,2026-04-15T18:57:18,2026-04-15T18:57:18,0.000,
0039,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0039.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0039.png,1,720x1280x3,720x1280,2026-04-15T18:57:18,2026-04-15T18:57:18,0.000,
0040,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\val\0040.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0040.png,1,720x1280x3,720x1280,2026-04-15T18:57:20,2026-04-15T18:57:20,0.000,
0041,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0041.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0041.png,1,720x1280x3,720x1280,2026-04-15T18:57:40,2026-04-15T18:57:40,0.000,
0042,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\val\0042.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0042.png,1,720x1280x3,720x1280,2026-04-15T18:57:40,2026-04-15T18:57:40,0.000,
0043,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0043.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0043.png,1,720x1280x3,720x1280,2026-04-15T18:57:42,2026-04-15T18:57:42,0.000,
0044,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0044.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0044.png,1,720x1280x3,720x1280,2026-04-15T18:57:42,2026-04-15T18:57:44,2.000,
0045,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0045.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0045.png,1,720x1280x3,720x1280,2026-04-15T18:57:50,2026-04-15T18:57:50,0.000,
0046,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0046.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0046.png,1,720x1280x3,720x1280,2026-04-15T18:57:50,2026-04-15T18:57:50,0.000,
0047,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0047.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0047.png,1,720x1280x3,720x1280,2026-04-15T18:57:52,2026-04-15T18:57:52,0.000,
0048,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0048.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0048.png,1,720x1280x3,720x1280,2026-04-15T18:58:00,2026-04-15T18:58:00,0.000,
0049,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0049.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0049.png,1,720x1280x3,720x1280,2026-04-15T18:58:02,2026-04-15T18:58:02,0.000,
0050,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\test\0050.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0050.png,1,720x1280x3,720x1280,2026-04-15T18:58:02,2026-04-15T18:58:02,0.000,
0051,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0051.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0051.png,1,720x1280x3,720x1280,2026-04-15T18:58:02,2026-04-15T18:58:02,0.000,
0052,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\test\0052.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0052.png,1,720x1280x3,720x1280,2026-04-15T18:58:12,2026-04-15T18:58:12,0.000,
0053,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0053.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0053.png,1,720x1280x3,720x1280,2026-04-15T18:58:14,2026-04-15T18:58:14,0.000,
0054,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\val\0054.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0054.png,1,720x1280x3,720x1280,2026-04-15T18:58:14,2026-04-15T18:58:14,0.000,
0055,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0055.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0055.png,1,720x1280x3,720x1280,2026-04-15T18:58:14,2026-04-15T18:58:14,0.000,
0056,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0056.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0056.png,1,720x1280x3,720x1280,2026-04-15T18:58:20,2026-04-15T18:58:20,0.000,
0057,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0057.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0057.png,1,720x1280x3,720x1280,2026-04-15T18:58:22,2026-04-15T18:58:22,0.000,
0058,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0058.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0058.png,1,720x1280x3,720x1280,2026-04-15T18:58:22,2026-04-15T18:58:22,0.000,
0059,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0059.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0059.png,1,720x1280x3,720x1280,2026-04-15T18:58:24,2026-04-15T18:58:24,0.000,
0060,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0060.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0060.png,1,720x1280x3,720x1280,2026-04-15T18:58:24,2026-04-15T18:58:24,0.000,
0061,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0061.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0061.png,1,720x1280x3,720x1280,2026-04-15T18:58:32,2026-04-15T18:58:32,0.000,
0062,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0062.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0062.png,1,720x1280x3,720x1280,2026-04-15T18:58:34,2026-04-15T18:58:34,0.000,
0063,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\val\0063.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0063.png,1,720x1280x3,720x1280,2026-04-15T18:58:34,2026-04-15T18:58:34,0.000,
0064,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0064.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0064.png,1,720x1280x3,720x1280,2026-04-15T18:58:34,2026-04-15T18:58:34,0.000,
0065,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\val\0065.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0065.png,1,720x1280x3,720x1280,2026-04-15T18:58:44,2026-04-15T18:58:44,0.000,
0066,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0066.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0066.png,1,720x1280x3,720x1280,2026-04-15T18:58:44,2026-04-15T18:58:44,0.000,
0067,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\val\0067.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0067.png,1,720x1280x3,720x1280,2026-04-15T18:58:44,2026-04-15T18:58:44,0.000,
0068,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0068.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0068.png,1,720x1280x3,720x1280,2026-04-15T18:58:44,2026-04-15T18:58:44,0.000,
0069,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0069.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0069.png,1,720x1280x3,720x1280,2026-04-15T18:58:46,2026-04-15T18:58:46,0.000,
0070,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0070.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0070.png,1,720x1280x3,720x1280,2026-04-15T18:58:46,2026-04-15T18:58:46,0.000,
0071,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\val\0071.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0071.png,1,720x1280x3,720x1280,2026-04-15T18:58:54,2026-04-15T18:58:54,0.000,
0072,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0072.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0072.png,1,720x1280x3,720x1280,2026-04-15T18:58:54,2026-04-15T18:58:54,0.000,
0073,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\val\0073.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0073.png,1,720x1280x3,720x1280,2026-04-15T18:58:56,2026-04-15T18:58:56,0.000,
0074,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0074.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0074.png,1,720x1280x3,720x1280,2026-04-15T18:59:02,2026-04-15T18:59:02,0.000,
0075,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0075.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0075.png,1,720x1280x3,720x1280,2026-04-15T18:59:02,2026-04-15T18:59:02,0.000,
0076,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\val\0076.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0076.png,1,720x1280x3,720x1280,2026-04-15T18:59:04,2026-04-15T18:59:04,0.000,
0077,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\test\0077.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0077.png,1,720x1280x3,720x1280,2026-04-15T18:59:04,2026-04-15T18:59:04,0.000,
0078,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0078.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0078.png,1,720x1280x3,720x1280,2026-04-15T18:59:04,2026-04-15T18:59:04,0.000,
0079,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\val\0079.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0079.png,1,720x1280x3,720x1280,2026-04-15T18:59:12,2026-04-15T18:59:12,0.000,
0080,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0080.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0080.png,1,720x1280x3,720x1280,2026-04-15T18:59:12,2026-04-15T18:59:12,0.000,
0081,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0081.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0081.png,1,720x1280x3,720x1280,2026-04-15T18:59:12,2026-04-15T18:59:12,0.000,
0082,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0082.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0082.png,1,720x1280x3,720x1280,2026-04-15T18:59:20,2026-04-15T18:59:20,0.000,
0083,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0083.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0083.png,1,720x1280x3,720x1280,2026-04-15T18:59:22,2026-04-15T18:59:22,0.000,
0084,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0084.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0084.png,1,720x1280x3,720x1280,2026-04-15T18:59:22,2026-04-15T18:59:22,0.000,
0085,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0085.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0085.png,1,720x1280x3,720x1280,2026-04-15T18:59:22,2026-04-15T18:59:22,0.000,
0086,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\test\0086.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0086.png,1,720x1280x3,720x1280,2026-04-15T18:59:30,2026-04-15T18:59:30,0.000,
0087,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\test\0087.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0087.png,1,720x1280x3,720x1280,2026-04-15T18:59:30,2026-04-15T18:59:30,0.000,
0088,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0088.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0088.png,1,720x1280x3,720x1280,2026-04-15T18:59:32,2026-04-15T18:59:32,0.000,
0089,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0089.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0089.png,1,720x1280x3,720x1280,2026-04-15T18:59:32,2026-04-15T18:59:32,0.000,
0090,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0090.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0090.png,1,720x1280x3,720x1280,2026-04-15T18:59:32,2026-04-15T18:59:32,0.000,
0091,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0091.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0091.png,1,720x1280x3,720x1280,2026-04-15T18:59:42,2026-04-15T18:59:42,0.000,
0092,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0092.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0092.png,1,720x1280x3,720x1280,2026-04-15T18:59:44,2026-04-15T18:59:44,0.000,
0093,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\val\0093.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0093.png,1,720x1280x3,720x1280,2026-04-15T18:59:44,2026-04-15T18:59:44,0.000,
0094,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0094.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0094.png,1,720x1280x3,720x1280,2026-04-15T18:59:54,2026-04-15T18:59:54,0.000,
0095,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\test\0095.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0095.png,1,720x1280x3,720x1280,2026-04-15T18:59:56,2026-04-15T18:59:56,0.000,
0096,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0096.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0096.png,1,720x1280x3,720x1280,2026-04-15T18:59:56,2026-04-15T18:59:56,0.000,
0097,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0097.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0097.png,1,720x1280x3,720x1280,2026-04-15T19:00:06,2026-04-15T19:00:06,0.000,
0098,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0098.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0098.png,1,720x1280x3,720x1280,2026-04-15T19:00:08,2026-04-15T19:00:08,0.000,
0099,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\val\0099.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0099.png,1,720x1280x3,720x1280,2026-04-15T19:00:08,2026-04-15T19:00:08,0.000,
0100,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\test\0100.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0100.png,1,720x1280x3,720x1280,2026-04-15T19:00:08,2026-04-15T19:00:08,0.000,
0101,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\test\0101.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0101.png,1,720x1280x3,720x1280,2026-04-15T19:00:10,2026-04-15T19:00:10,0.000,
0102,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0102.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0102.png,1,720x1280x3,720x1280,2026-04-15T19:00:22,2026-04-15T19:00:22,0.000,
0103,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0103.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0103.png,1,720x1280x3,720x1280,2026-04-15T19:00:24,2026-04-15T19:00:24,0.000,
0104,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0104.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0104.png,1,720x1280x3,720x1280,2026-04-15T19:00:34,2026-04-15T19:00:34,0.000,
0105,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\test\0105.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0105.png,1,720x1280x3,720x1280,2026-04-15T19:00:36,2026-04-15T19:00:36,0.000,
0106,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0106.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0106.png,1,720x1280x3,720x1280,2026-04-15T19:00:36,2026-04-15T19:00:36,0.000,
0107,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\image\train\0107.png,C:\git_lib\YOLO_test\ultralytics\rgbd_data_mass_1\depth_aligned\0107.png,1,720x1280x3,720x1280,2026-04-15T19:00:46,2026-04-15T19:00:46,0.000,
